seed,layer_index,all_accuracy,congruent_accuracy,incongruent_accuracy
10,14,0.503125,0.51875,0.4875
10,15,0.503125,0.525,0.48125
10,16,0.5,0.5,0.5
10,17,0.51875,0.5375,0.5
10,18,0.51875,0.5,0.5375
10,19,0.521875,0.5,0.54375
10,20,0.51875,0.5125,0.525
10,21,0.515625,0.53125,0.5
10,22,0.54375,0.55625,0.53125
10,23,0.525,0.5375,0.5125
10,24,0.484375,0.4625,0.50625
10,25,0.50625,0.5125,0.5
10,26,0.5125,0.48125,0.54375
10,27,0.534375,0.5625,0.50625
10,28,0.525,0.5375,0.5125
10,29,0.53125,0.55,0.5125
10,30,0.503125,0.5,0.50625
10,31,0.496875,0.5,0.49375
10,32,0.515625,0.51875,0.5125
10,33,0.525,0.5625,0.4875
10,34,0.521875,0.51875,0.525
10,35,0.521875,0.5125,0.53125
10,36,0.525,0.5375,0.5125
10,37,0.521875,0.5125,0.53125
10,38,0.53125,0.5375,0.525
10,39,0.5125,0.5125,0.5125
10,40,0.5375,0.53125,0.54375
10,41,0.521875,0.53125,0.5125
10,42,0.5125,0.50625,0.51875
10,43,0.50625,0.50625,0.50625
10,44,0.51875,0.525,0.5125
10,45,0.528125,0.53125,0.525
10,46,0.528125,0.53125,0.525
10,47,0.540625,0.56875,0.5125
10,48,0.5,0.50625,0.49375
10,49,0.51875,0.525,0.5125
10,50,0.509375,0.5125,0.50625
10,51,0.51875,0.51875,0.51875
10,52,0.525,0.5375,0.5125
10,53,0.521875,0.525,0.51875
10,54,0.50625,0.50625,0.50625
10,55,0.5,0.51875,0.48125
10,56,0.496875,0.4875,0.50625
10,57,0.5125,0.5,0.525
10,58,0.50625,0.5,0.5125
10,59,0.509375,0.50625,0.5125
10,60,0.51875,0.49375,0.54375
10,61,0.51875,0.51875,0.51875
11,0,0.4875,0.49375,0.48125
11,1,0.50625,0.50625,0.50625
11,2,0.49375,0.49375,0.49375
11,3,0.48125,0.49375,0.46875
11,4,0.496875,0.51875,0.475
11,5,0.503125,0.50625,0.5
11,6,0.49375,0.48125,0.50625
11,7,0.540625,0.54375,0.5375
11,8,0.496875,0.4375,0.55625
11,9,0.50625,0.49375,0.51875
11,10,0.5375,0.5125,0.5625
11,11,0.546875,0.55,0.54375
11,12,0.5125,0.5,0.525
11,13,0.5,0.5125,0.4875
11,14,0.51875,0.53125,0.50625
