seed,layer_index,all_accuracy,congruent_accuracy,incongruent_accuracy
16,9,0.471875,0.4875,0.45625
16,10,0.475,0.48125,0.46875
16,11,0.478125,0.4625,0.49375
16,12,0.45625,0.46875,0.44375
16,13,0.46875,0.475,0.4625
16,14,0.490625,0.50625,0.475
16,15,0.525,0.54375,0.50625
16,16,0.540625,0.55625,0.525
16,17,0.528125,0.5375,0.51875
16,18,0.5125,0.50625,0.51875
16,19,0.50625,0.525,0.4875
16,20,0.509375,0.5125,0.50625
16,21,0.51875,0.51875,0.51875
16,22,0.525,0.525,0.525
16,23,0.51875,0.5125,0.525
17,0,0.50625,0.525,0.4875
17,1,0.53125,0.4875,0.575
17,2,0.55,0.6,0.5
17,3,0.5,0.4875,0.5125
17,4,0.515625,0.53125,0.5
17,5,0.5375,0.5375,0.5375
17,6,0.528125,0.49375,0.5625
17,7,0.534375,0.5375,0.53125
17,8,0.515625,0.4875,0.54375
17,9,0.49375,0.475,0.5125
17,10,0.540625,0.575,0.50625
17,11,0.515625,0.54375,0.4875
17,12,0.521875,0.525,0.51875
17,13,0.478125,0.48125,0.475
17,14,0.503125,0.525,0.48125
17,15,0.540625,0.55,0.53125
17,16,0.540625,0.55625,0.525
17,17,0.50625,0.5,0.5125
17,18,0.515625,0.55,0.48125
17,19,0.51875,0.54375,0.49375
17,20,0.528125,0.55,0.50625
17,21,0.521875,0.55625,0.4875
17,22,0.54375,0.59375,0.49375
17,23,0.5125,0.53125,0.49375
18,0,0.5,0.50625,0.49375
18,1,0.471875,0.4875,0.45625
18,2,0.5,0.51875,0.48125
18,3,0.49375,0.4625,0.525
18,4,0.4625,0.41875,0.50625
18,5,0.475,0.5125,0.4375
18,6,0.528125,0.5375,0.51875
18,7,0.509375,0.525,0.49375
18,8,0.525,0.53125,0.51875
18,9,0.503125,0.50625,0.5
18,10,0.528125,0.5375,0.51875
18,11,0.503125,0.53125,0.475
18,12,0.490625,0.525,0.45625
18,13,0.515625,0.53125,0.5
18,14,0.55,0.5625,0.5375
18,15,0.534375,0.55,0.51875
18,16,0.534375,0.54375,0.525
18,17,0.528125,0.55625,0.5
18,18,0.528125,0.53125,0.525
18,19,0.50625,0.5375,0.475
18,20,0.496875,0.4875,0.50625
18,21,0.51875,0.50625,0.53125
18,22,0.55,0.5625,0.5375
18,23,0.534375,0.5375,0.53125
19,0,0.490625,0.48125,0.5
19,1,0.4875,0.49375,0.48125
19,2,0.5,0.49375,0.50625
19,3,0.49375,0.49375,0.49375
19,4,0.5,0.51875,0.48125
19,5,0.465625,0.4375,0.49375
19,6,0.48125,0.45,0.5125
19,7,0.4875,0.46875,0.50625
19,8,0.484375,0.475,0.49375
19,9,0.496875,0.4625,0.53125
19,10,0.5125,0.4875,0.5375
19,11,0.5125,0.5125,0.5125
19,12,0.521875,0.4875,0.55625
19,13,0.521875,0.51875,0.525
19,14,0.515625,0.51875,0.5125
19,15,0.521875,0.475,0.56875
19,16,0.48125,0.45,0.5125
19,17,0.515625,0.5,0.53125
19,18,0.496875,0.475,0.51875
19,19,0.5,0.5,0.5
19,20,0.509375,0.5125,0.50625
