participant_id,item_index,image_word,condition,rating
0a3302f8-39d5-4963-925e-ca6c5d0c5b51,20,lipstick,incongruent,3
0a3302f8-39d5-4963-925e-ca6c5d0c5b51,21,sang,congruent,4
0a3302f8-39d5-4963-925e-ca6c5d0c5b51,22,skeptical,incongruent,2
0a3302f8-39d5-4963-925e-ca6c5d0c5b51,23,graduation,incongruent,3
0a3302f8-39d5-4963-925e-ca6c5d0c5b51,24,aftermath,incongruent,3
0a3302f8-39d5-4963-925e-ca6c5d0c5b51,25,daughter,incongruent,2
0a3302f8-39d5-4963-925e-ca6c5d0c5b51,26,roommate,congruent,3
0a3302f8-39d5-4963-925e-ca6c5d0c5b51,27,mother,incongruent,3
0a3302f8-39d5-4963-925e-ca6c5d0c5b51,28,prison,incongruent,3
0a3302f8-39d5-4963-925e-ca6c5d0c5b51,29,hopeless,congruent,3
0a3302f8-39d5-4963-925e-ca6c5d0c5b51,30,overjoyed,congruent,4
0a3302f8-39d5-4963-925e-ca6c5d0c5b51,31,encouragement,congruent,4
0a3302f8-39d5-4963-925e-ca6c5d0c5b51,32,angrily,congruent,4
0a3302f8-39d5-4963-925e-ca6c5d0c5b51,33,flirtatious,incongruent,3
0a3302f8-39d5-4963-925e-ca6c5d0c5b51,34,disapprovingly,congruent,5
0a3302f8-39d5-4963-925e-ca6c5d0c5b51,35,distant,incongruent,3
0a3302f8-39d5-4963-925e-ca6c5d0c5b51,36,headphones,congruent,4
0a3302f8-39d5-4963-925e-ca6c5d0c5b51,37,playroom,congruent,5
0a3302f8-39d5-4963-925e-ca6c5d0c5b51,38,bedroom,congruent,5
0a3302f8-39d5-4963-925e-ca6c5d0c5b51,39,excitedly,congruent,3
0a3302f8-39d5-4963-925e-ca6c5d0c5b51,40,sock,congruent,3
0a3302f8-39d5-4963-925e-ca6c5d0c5b51,41,naked,congruent,4
0a3302f8-39d5-4963-925e-ca6c5d0c5b51,42,lively,incongruent,3
0a3302f8-39d5-4963-925e-ca6c5d0c5b51,43,offended,congruent,4
0a3302f8-39d5-4963-925e-ca6c5d0c5b51,44,grandkid,congruent,4
0a3302f8-39d5-4963-925e-ca6c5d0c5b51,45,promoted,incongruent,3
0a3302f8-39d5-4963-925e-ca6c5d0c5b51,46,celebration,congruent,4
0a3302f8-39d5-4963-925e-ca6c5d0c5b51,47,crayon,incongruent,3
0a3302f8-39d5-4963-925e-ca6c5d0c5b51,48,taxi,incongruent,2
0a3302f8-39d5-4963-925e-ca6c5d0c5b51,49,parents,incongruent,3
0a3302f8-39d5-4963-925e-ca6c5d0c5b51,50,sky,incongruent,3
0a3302f8-39d5-4963-925e-ca6c5d0c5b51,51,homework,congruent,3
0a3302f8-39d5-4963-925e-ca6c5d0c5b51,52,quiz,incongruent,3
0a3302f8-39d5-4963-925e-ca6c5d0c5b51,53,migraine,congruent,4
0a3302f8-39d5-4963-925e-ca6c5d0c5b51,54,husband,incongruent,2
0a3302f8-39d5-4963-925e-ca6c5d0c5b51,55,film,incongruent,3
0a3302f8-39d5-4963-925e-ca6c5d0c5b51,56,banquet,congruent,4
0a3302f8-39d5-4963-925e-ca6c5d0c5b51,57,textbook,incongruent,2
0a3302f8-39d5-4963-925e-ca6c5d0c5b51,58,snow,incongruent,3
0a3302f8-39d5-4963-925e-ca6c5d0c5b51,59,passport,congruent,4
0a3302f8-39d5-4963-925e-ca6c5d0c5b51,60,sister,incongruent,3
0a3302f8-39d5-4963-925e-ca6c5d0c5b51,61,sunset,incongruent,3
0a3302f8-39d5-4963-925e-ca6c5d0c5b51,62,funeral,congruent,4
0a3302f8-39d5-4963-925e-ca6c5d0c5b51,63,grades,incongruent,3
0a3302f8-39d5-4963-925e-ca6c5d0c5b51,64,arrest,incongruent,4
0a3302f8-39d5-4963-925e-ca6c5d0c5b51,65,coffee,congruent,3
0a3302f8-39d5-4963-925e-ca6c5d0c5b51,66,sentencing,congruent,4
0a3302f8-39d5-4963-925e-ca6c5d0c5b51,67,nap,incongruent,1
0a3302f8-39d5-4963-925e-ca6c5d0c5b51,68,tire,congruent,5
0a3302f8-39d5-4963-925e-ca6c5d0c5b51,69,chemotherapy,incongruent,4
0a3302f8-39d5-4963-925e-ca6c5d0c5b51,70,lullaby,congruent,4
0a3302f8-39d5-4963-925e-ca6c5d0c5b51,71,uniform,congruent,4
0a3302f8-39d5-4963-925e-ca6c5d0c5b51,72,gown,congruent,5
0a3302f8-39d5-4963-925e-ca6c5d0c5b51,73,bed,incongruent,4
0a3302f8-39d5-4963-925e-ca6c5d0c5b51,74,kindergarten,incongruent,3
0a3302f8-39d5-4963-925e-ca6c5d0c5b51,75,interrogated,congruent,4
0a3302f8-39d5-4963-925e-ca6c5d0c5b51,76,sandcastle,congruent,4
0a3302f8-39d5-4963-925e-ca6c5d0c5b51,77,music,incongruent,1
0a3302f8-39d5-4963-925e-ca6c5d0c5b51,78,playoffs,incongruent,2
0a3302f8-39d5-4963-925e-ca6c5d0c5b51,79,academics,incongruent,4
0f95b218-a093-46d8-bc63-236edc79daea,0,refrigerator,congruent,4
0f95b218-a093-46d8-bc63-236edc79daea,1,disappointment,congruent,5
0f95b218-a093-46d8-bc63-236edc79daea,2,overcoat,incongruent,1
0f95b218-a093-46d8-bc63-236edc79daea,3,marathon,congruent,4
0f95b218-a093-46d8-bc63-236edc79daea,4,prescription,congruent,5
0f95b218-a093-46d8-bc63-236edc79daea,5,distress,incongruent,1
0f95b218-a093-46d8-bc63-236edc79daea,6,patients,incongruent,4
0f95b218-a093-46d8-bc63-236edc79daea,7,deadlock,congruent,4
0f95b218-a093-46d8-bc63-236edc79daea,8,cancer,congruent,4
0f95b218-a093-46d8-bc63-236edc79daea,9,terminal,incongruent,1
0f95b218-a093-46d8-bc63-236edc79daea,10,cash,incongruent,2
0f95b218-a093-46d8-bc63-236edc79daea,11,lonely,incongruent,1
0f95b218-a093-46d8-bc63-236edc79daea,12,outrage,incongruent,4
0f95b218-a093-46d8-bc63-236edc79daea,13,snowstorm,incongruent,1
0f95b218-a093-46d8-bc63-236edc79daea,14,laughter,congruent,5
