seed,max_accuracy
773,0.590625
774,0.55
775,0.565625
776,0.571875
777,0.534375
778,0.540625
779,0.51875
780,0.575
781,0.521875
782,0.509375
783,0.528125
784,0.525
785,0.5375
786,0.55
787,0.509375
788,0.5625
789,0.521875
790,0.51875
791,0.540625
792,0.53125
793,0.53125
794,0.575
795,0.5625
796,0.509375
797,0.54375
798,0.55
799,0.559375
800,0.53125
801,0.5625
802,0.5625
803,0.55
804,0.509375
805,0.5
806,0.53125
807,0.5375
808,0.546875
809,0.5125
810,0.521875
811,0.575
812,0.55625
813,0.515625
814,0.5875
815,0.51875
816,0.54375
817,0.55
818,0.55
819,0.5125
820,0.578125
821,0.55
822,0.559375
823,0.540625
824,0.503125
825,0.55625
826,0.565625
827,0.521875
828,0.54375
829,0.5375
830,0.521875
831,0.54375
832,0.55
833,0.559375
834,0.528125
835,0.55625
836,0.534375
837,0.553125
838,0.540625
839,0.525
840,0.51875
841,0.54375
842,0.50625
843,0.534375
844,0.49375
845,0.534375
846,0.521875
847,0.578125
848,0.54375
849,0.53125
850,0.546875
851,0.534375
852,0.559375
853,0.49375
854,0.55625
855,0.525
856,0.546875
857,0.521875
858,0.53125
859,0.553125
860,0.571875
861,0.503125
862,0.51875
863,0.509375
864,0.515625
865,0.525
866,0.59375
867,0.5125
868,0.51875
869,0.553125
870,0.58125
871,0.525
872,0.521875
873,0.571875
874,0.546875
875,0.525
876,0.53125
877,0.503125
878,0.509375
879,0.540625
880,0.553125
881,0.559375
882,0.59375
883,0.553125
884,0.525
885,0.578125
886,0.590625
887,0.553125
888,0.546875
889,0.54375
890,0.540625
891,0.534375
892,0.571875
893,0.625
894,0.5625
895,0.509375
896,0.575
897,0.51875
898,0.515625
899,0.56875
900,0.553125
901,0.540625
902,0.525
903,0.50625
904,0.56875
905,0.534375
906,0.5125
907,0.559375
908,0.55
909,0.50625
910,0.54375
911,0.515625
912,0.5125
913,0.534375
914,0.525
915,0.5125
916,0.55
917,0.6
918,0.528125
919,0.553125
920,0.540625
921,0.5375
922,0.53125
923,0.50625
924,0.5125
925,0.54375
926,0.546875
927,0.5375
928,0.534375
929,0.540625
930,0.5125
931,0.5125
932,0.521875
933,0.553125
934,0.51875
935,0.55625
936,0.540625
937,0.534375
938,0.521875
939,0.54375
940,0.54375
941,0.525
942,0.5
943,0.525
944,0.596875
945,0.53125
946,0.528125
947,0.55625
948,0.5375
949,0.54375
950,0.51875
951,0.559375
952,0.578125
953,0.553125
954,0.596875
955,0.55
956,0.546875
957,0.571875
958,0.5625
959,0.509375
960,0.55625
961,0.525
962,0.509375
963,0.51875
964,0.5125
965,0.55
966,0.528125
967,0.553125
968,0.55
969,0.534375
970,0.553125
971,0.525
972,0.525
973,0.5625
974,0.5375
975,0.56875
976,0.578125
977,0.53125
978,0.553125
979,0.54375
980,0.49375
981,0.534375
982,0.534375
983,0.5625
984,0.51875
985,0.5625
986,0.5875
987,0.54375
988,0.51875
989,0.53125
990,0.50625
991,0.571875
992,0.515625
993,0.53125
994,0.540625
995,0.58125
996,0.5375
997,0.55625
998,0.553125
999,0.528125
